"Date","Price","Open","High","Low","Change %"
"04/25/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/22/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/21/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/20/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/19/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/18/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/15/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/14/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/13/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/12/2022","8.5200","8.5200","8.5200","8.5200","0.12%"
"04/11/2022","8.5100","8.5100","8.5100","8.5100","-0.12%"
"04/08/2022","8.5200","8.5200","8.5200","8.5200","0.12%"
"04/07/2022","8.5100","8.5100","8.5100","8.5100","7.59%"
"03/22/2022","7.9100","7.9100","7.9100","7.9100","0.00%"
"03/21/2022","7.9100","7.9100","7.9100","7.9100","-0.75%"
"03/18/2022","7.9700","7.9700","7.9700","7.9700","188.77%"
"03/04/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"03/03/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"03/02/2022","2.7600","2.7600","2.7600","2.7600","0.00%"
"03/01/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"02/28/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"02/25/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"02/24/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/23/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/22/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"02/21/2022","2.7600","2.7600","2.7600","2.7600","0.00%"
"02/18/2022","2.7600","2.7600","2.7600","2.7600","0.00%"
"02/17/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"02/16/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"02/15/2022","2.7600","2.7600","2.7600","2.7600","0.00%"
"02/14/2022","2.7600","2.7600","2.7600","2.7600","0.73%"
"02/11/2022","2.7400","2.7400","2.7400","2.7400","-0.36%"
"02/10/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/09/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/08/2022","2.7500","2.7500","2.7500","2.7500","0.36%"
"02/07/2022","2.7400","2.7400","2.7400","2.7400","-0.36%"
"02/04/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/03/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/02/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"02/01/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"01/31/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"01/28/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/27/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/26/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/25/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/24/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/21/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/20/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/19/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/18/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/14/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"01/13/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"01/12/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/11/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/10/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/07/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/06/2022","2.7500","2.7500","2.7500","2.7500","-0.36%"
"01/05/2022","2.7600","2.7600","2.7600","2.7600","0.36%"
"01/04/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"01/03/2022","2.7500","2.7500","2.7500","2.7500","0.00%"
"12/31/2021","2.7500","2.7500","2.7500","2.7500","-0.36%"
"12/30/2021","2.7600","2.7600","2.7600","2.7600","0.00%"
"12/29/2021","2.7600","2.7600","2.7600","2.7600","0.00%"
"12/28/2021","2.7600","2.7600","2.7600","2.7600","0.00%"
"12/27/2021","2.7600","2.7600","2.7600","2.7600","0.00%"
"12/23/2021","2.7600","2.7600","2.7600","2.7600","0.00%"
"12/22/2021","2.7600","2.7600","2.7600","2.7600","-46.51%"
"12/16/2021","5.1600","5.1600","5.1600","5.1600","-7.86%"
"12/15/2021","5.6000","5.6000","5.6000","5.6000","-16.29%"
"12/14/2021","6.6900","6.6900","6.6900","6.6900","-1.04%"
"12/13/2021","6.7600","6.7600","6.7600","6.7600","-2.73%"
"12/09/2021","6.9500","6.9500","6.9500","6.9500","-2.80%"
"12/08/2021","7.1500","7.1500","7.1500","7.1500","-27.41%"
"12/07/2021","9.8500","9.8500","9.8500","9.8500","0.00%"
"12/06/2021","9.8500","9.8500","9.8500","9.8500","0.00%"
"12/03/2021","9.8500","9.8500","9.8500","9.8500","0.00%"
"12/02/2021","9.8500","9.8500","9.8500","9.8500","-14.50%"
"12/01/2021","11.5200","11.5200","11.5200","11.5200","-0.17%"
"11/30/2021","11.5400","11.5400","11.5400","11.5400","0.79%"
"11/29/2021","11.4500","11.4500","11.4500","11.4500","3.06%"
"11/26/2021","11.1100","19.5000","19.5000","11.1100","-27.43%"
"11/25/2021","15.3100","19.5000","19.5100","15.3100","-21.53%"
"11/24/2021","19.5100","19.5000","19.5100","19.5000","0.05%"
"11/23/2021","19.5000","19.5000","19.5000","19.5000","0.00%"
"11/22/2021","19.5000","19.5000","19.5000","19.5000","0.00%"
"11/19/2021","19.5000","19.5000","19.5000","19.5000","0.00%"
"11/18/2021","19.5000","19.5000","19.5000","19.5000","0.00%"
"11/17/2021","19.5000","14.5700","19.5000","14.5700","33.84%"
"11/16/2021","14.5700","14.5700","14.5700","14.5700","0.00%"
"11/15/2021","14.5700","14.5700","14.5700","14.5700","0.00%"
"11/12/2021","14.5700","14.5700","14.5700","14.5700","0.00%"
"11/11/2021","14.5700","14.5600","14.5700","14.5600","0.07%"
"11/10/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/09/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/08/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/05/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/04/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/03/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/02/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"11/01/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"10/29/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"10/28/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"10/27/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"10/26/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"10/21/2021","14.5600","14.5600","14.5600","14.5600","0.00%"
"10/20/2021","14.5600","14.5500","14.5600","14.5500","0.07%"
"10/19/2021","14.5500","14.5500","14.5500","14.5500","0.00%"
"10/18/2021","14.5500","14.5500","14.5500","14.5500","0.00%"
"10/15/2021","14.5500","14.5500","14.5500","14.5500","0.00%"
"10/14/2021","14.5500","14.5500","14.5500","14.5500","0.00%"
"10/13/2021","14.5500","14.5500","14.5500","14.5500","0.00%"
"10/12/2021","14.5500","14.5500","14.5500","14.5500","631.16%"
"03/10/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/09/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/08/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/05/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/04/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/03/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/02/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"03/01/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/26/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/25/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/24/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/23/2021","1.9900","1.9900","1.9900","1.9900","-0.30%"
"02/22/2021","1.9960","1.9960","1.9960","1.9960","0.30%"
"02/19/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/18/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/17/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/16/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/15/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/12/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/11/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/10/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/09/2021","1.9900","1.9900","1.9900","1.9900","0.00%"
"02/08/2021","1.9900","1.9900","1.9900","1.9900","-0.50%"
"02/05/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"02/04/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"02/03/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"02/02/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"02/01/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/29/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/28/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/27/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/26/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/25/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/22/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/21/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/20/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/19/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/18/2021","2.0000","2.0000","2.0000","2.0000","0.00%"
"01/15/2021","2.0000","2.0000","2.0000","2.0000","-14.89%"
"01/14/2021","2.3500","2.3500","2.3500","2.3500","0.00%"
"01/13/2021","2.3500","2.3500","2.3500","2.3500","0.00%"
"01/12/2021","2.3500","2.3500","2.3500","2.3500","0.00%"
"01/11/2021","2.3500","2.3500","2.3500","2.3500","0.00%"
"01/08/2021","2.3500","2.3500","2.3500","2.3500","-0.42%"
"01/07/2021","2.3600","2.3600","2.3600","2.3600","0.00%"
